ID,vis_AHA_bl-1sek_1,verb_AHA_bl-1sek_1,GV1,vis_AHA_bl-1sek_2,verb_AHA_bl-1sek_2,GV2,vis_AHA_bl-1sek_3,verb_AHA_bl-1sek_3,GV3,vis_AHA_bl-1sek_4,verb_AHA_bl-1sek_4,GV4
sub-06,0.137645634820509,0.208566305360108,-0.0432780242035321,-0.156372319274247,-0.206995417305839,-0.0441070934239567,-0.154132584315004,-0.350322618763881,-0.0250600089563413,0.280051901348661,-0.140104988696969,-0.0314033313924287
sub-12,0.178537105261126,0.225352295610362,-0.0479206987053809,0.272698785277841,0.122105353937619,-0.0388551371654243,0.298197962317094,0.284166355905046,-0.0209232242454805,0.402183572484549,0.158592639257599,-0.0317208355807071
sub-13,0.146800974819741,-0.0834615067403646,-0.040494880029978,0.243356951325659,-0.0651083799788164,0.0276619805080621,0.200361799825385,0.184991734378868,0.0304903174945348,0.393767078662314,0.136198938630986,0.0447105207886906
sub-14,0.167243028686473,-0.109630751489533,-0.012149061322586,0.197863065903112,-0.085713103024673,-0.0238280595328278,0.0777428356220627,0.194643861553462,-0.0254195558569328,0.214053066881919,-0.271968513364565,-0.039796603201217
sub-16,0.186548822593273,0.132484811414713,-0.0182288976758904,0.343872838951705,-0.283749351440193,-0.0367042739662319,0.161029411882145,0.207710352156403,-0.040194513317532,0.175478176550101,0.238305174442271,-0.0237807694625738
sub-17,0.100823320450266,0.136057099939781,-0.0384642391978498,0.224593062400168,0.237027519876607,-0.0111699358406774,0.260182827823142,-0.122839590297047,-0.0179732299492631,-0.24962724301506,-0.212049948127479,-0.0374902024691543
sub-19,0.128086231103234,0.0279942208420164,-0.0177846831416881,0.161378248546001,0.0684136116097471,-0.035437741956108,-0.0426112102029304,-0.0688973780622407,-0.011196220936015,-0.127257291663411,-0.0646356534252529,-0.00826206882514715
sub-20,0.197325462284729,0.0527570686279337,-0.0435344503225422,0.291517324875728,0.171160782550811,-0.0194208429615815,0.0933475065030412,0.10304349956629,-0.0298100192153395,0.141307022415666,-0.120268520906879,-0.0126914830984614
sub-21,0.158992504682602,0.18548478837277,-0.0410528626364798,0.127673535078875,0.14473502102728,-0.0289013248194531,0.307683700042731,0.116847200943205,-0.0259892331692412,0.174595653382269,0.118261761000597,0.0256671484891805
sub-22,0.345420034572162,0.21889880305822,-0.0510296687288103,0.155038446476934,0.0856572493828751,-0.044057612903759,-0.25755710726169,-0.281303316241981,-0.0401980395308555,0.370208407283122,0.352910759132323,-0.0340880883628369
sub-23,0.182789508146731,0.177540437768175,0.0250486538763354,0.629111670937147,0.164842469308404,-0.0176426260407684,0.26030498557381,-0.15021692510295,0.0255735210481414,0.260801687162723,-0.164449217454361,0.0396696608315916
sub-24,0.162933400049992,-0.0893973632654587,-0.034590853347433,0.212461593294014,0.174596457196364,-0.0253800414141831,0.225409401906197,0.156210959260546,-0.0357709382153192,0.14786240474441,0.09066800794127,-0.0249149931069428
sub-25,0.239356016131981,0.165334888348156,-0.0229214511632598,0.204556578485266,0.0239792742135541,-0.0174834423891395,0.184723153558043,-0.044812038577858,-0.0238359366620996,0.205838929853131,0.135260530130686,0.00720421923923434
sub-26,0.112829818701946,-0.114410608374924,-0.0224233197911813,-0.172113498005781,0.0359441699290699,-0.0273526275962548,0.178067088493771,-0.157136386780949,-0.0367327089014497,-0.160445355582722,-0.189429554796133,-0.0217032942007451
sub-28,0.100221872527168,0.140070063558831,-0.0200493709860345,0.175774683198628,-0.0824466400716381,-0.0189431573366546,0.0558056267025254,-0.108626866555304,-0.0299711976903708,0.184837087733009,0.155829098745046,-0.0140018411264284
sub-29,0.361155284416806,-0.203850671331244,-0.0669295210727411,0.357579413563787,0.187133271923027,-0.0308513114282386,0.263417673687543,0.141239683651172,-0.0282136555670635,0.313684510252099,0.146859709502345,-0.0162680750270445
sub-31,0.282587705752003,0.158149553498559,-0.0251623402032885,0.525404465363104,0.142435537788468,-0.0270030959682024,-0.14848883047222,0.0464813004866972,-0.0101742843423001,0.234382420563926,-0.0359898791539594,-0.0181617496067952
sub-32,0.173049937906926,-0.0922511846965081,-0.0198054603396459,0.30306441349014,-0.298444004877532,-0.0391177604058843,0.387450109076966,-0.2122181626231,0.0361609387518523,0.339862931091315,-0.129255540572554,0.0602531390112895
sub-33,0.193675119991761,0.219948458743482,-0.0193881631848947,0.299200735676252,0.197755154334083,-0.0538894553638501,0.123181728998084,0.173371753806598,-0.0262214557045629,0.258052335783275,-0.133242872051718,-0.0500221591539175
sub-34,0.274475772691698,0.232307553912317,0.0316547689007992,0.139424312641504,0.033927774171174,0.048634331524247,0.256122489394043,0.173520773998019,0.0128934331074856,0.263759664533273,0.208152627611981,0.0255238620324966
sub-35,0.195938919198688,-0.0869583777660597,-0.0700499925489499,-0.100827563139039,0.0660498352355432,-0.0088696649297874,-0.115801890529175,-0.161519923571606,-0.0165287778180049,0.173385929575801,-0.0792648035113475,-0.0388721948218235
sub-37,0.172486978191568,-0.258168776775246,-0.0202078160825541,-0.210164205141619,-0.222259089606134,-0.0479666350868246,0.357116888601844,0.046315270348914,0.00735906463684173,0.247385337368888,-0.238365902636847,-0.0223371303610075
sub-38,0.0981144797808233,-0.129886936051074,-0.0124960007705454,0.255025958668896,0.0612699497067319,-0.0264866769539271,0.177320824413856,-0.125523087359622,-0.0322845568906798,0.375928009320564,-0.106543159494673,-0.0187139651949727
