ID,ROI1,ROI2,y_LO,y_HI
2,"R_antFusG","L_aHC_182_218_182",0.122979679851645,0.422939378331337
3,"R_antFusG","L_aHC_182_218_182",-0.0785795754863416,0.207158493613204
4,"R_antFusG","L_aHC_182_218_182",0.460210334944761,0.384190238648746
5,"R_antFusG","L_aHC_182_218_182",0.116588653915988,-0.112032966254979
6,"R_antFusG","L_aHC_182_218_182",0.498224725383828,0.382385895346829
7,"R_antFusG","L_aHC_182_218_182",0.366197057917905,0.474223433477096
8,"R_antFusG","L_aHC_182_218_182",0.233280985869363,0.360259306943103
9,"R_antFusG","L_aHC_182_218_182",0.450563553365557,0.470834283414544
10,"R_antFusG","L_aHC_182_218_182",0.272220891721601,0.330950055646352
11,"R_antFusG","L_aHC_182_218_182",0.446883235734057,0.342380591010447
12,"R_antFusG","L_aHC_182_218_182",0.271520403559428,0.150926957832473
13,"R_antFusG","L_aHC_182_218_182",0.0919994821077732,0.226137761905917
14,"R_antFusG","L_aHC_182_218_182",0.0667108007552472,-0.0357363154862562
15,"R_antFusG","L_aHC_182_218_182",0.466946180690875,0.396371799122129
16,"R_antFusG","L_aHC_182_218_182",0.159339512659476,0.461953696344234
17,"R_antFusG","L_aHC_182_218_182",0.304180070450865,0.166907919723974
18,"R_antFusG","L_aHC_182_218_182",0.302452896992468,0.205261096326173
19,"R_antFusG","L_aHC_182_218_182",0.310964748540961,0.385869762213833
20,"R_antFusG","L_aHC_182_218_182",0.49541440751419,0.125042894978944
21,"R_antFusG","L_aHC_182_218_182",0.457565221789494,0.157468770917613
23,"R_antFusG","L_aHC_182_218_182",-0.752403499835891,0.293646134609303
24,"R_antFusG","L_aHC_182_218_182",0.269763112777671,0.367315837079145
25,"R_antFusG","L_aHC_182_218_182",0.318914479806621,0.310610745959617
26,"R_antFusG","L_aHC_182_218_182",0.54424489210844,0.164945900254894
27,"R_antFusG","L_aHC_182_218_182",0.561975812052938,0.318255557334239
28,"R_antFusG","L_aHC_182_218_182",0.155946696506802,0.278343579707866
29,"R_antFusG","L_aHC_182_218_182",-0.00661336272171329,0.122004438140495
30,"R_antFusG","L_aHC_182_218_182",0.343039863357532,0.20157782886758
31,"R_antFusG","L_aHC_182_218_182",0.290930862536795,0.492294360291037
1,"R_antFusG","L_pHC_182_218_182",0.153896025386955,0.416661493324267
2,"R_antFusG","L_pHC_182_218_182",0.400476835025036,0.145898667699112
3,"R_antFusG","L_pHC_182_218_182",-0.240540090664725,0.108388628324141
4,"R_antFusG","L_pHC_182_218_182",0.383851899107665,0.390980298739776
5,"R_antFusG","L_pHC_182_218_182",0.452832106399155,-0.0438649318042545
6,"R_antFusG","L_pHC_182_218_182",0.103659334915691,-0.00930251501863949
7,"R_antFusG","L_pHC_182_218_182",0.376136443207068,0.0335481764752734
8,"R_antFusG","L_pHC_182_218_182",0.0195720837014077,0.0571608376185274
9,"R_antFusG","L_pHC_182_218_182",-0.00561642306429061,0.114711621700827
10,"R_antFusG","L_pHC_182_218_182",-0.0764825943714125,0.071606399467778
11,"R_antFusG","L_pHC_182_218_182",0.192074842890767,0.0311259069642509
12,"R_antFusG","L_pHC_182_218_182",0.111066937581491,0.265564240916934
13,"R_antFusG","L_pHC_182_218_182",-0.0818599826229445,0.0138482997474107
14,"R_antFusG","L_pHC_182_218_182",-0.414444781031006,-0.121718247253442
15,"R_antFusG","L_pHC_182_218_182",0.248631977426643,0.395832954997944
16,"R_antFusG","L_pHC_182_218_182",0.240174211647107,0.232579135282841
17,"R_antFusG","L_pHC_182_218_182",0.126818728859366,0.15566246435002
18,"R_antFusG","L_pHC_182_218_182",0.158457425257325,-0.148681207392225
19,"R_antFusG","L_pHC_182_218_182",-0.00648861052816822,0.0984761272910083
20,"R_antFusG","L_pHC_182_218_182",0.414050263181174,0.112405017747587
21,"R_antFusG","L_pHC_182_218_182",0.181398853989911,0.143132068298194
23,"R_antFusG","L_pHC_182_218_182",-0.377050300665214,-0.353714926248417
24,"R_antFusG","L_pHC_182_218_182",0.301655832022116,0.0543567719639207
25,"R_antFusG","L_pHC_182_218_182",0.102251766039014,0.0571992717610462
26,"R_antFusG","L_pHC_182_218_182",0.254814459038003,0.270572001474559
27,"R_antFusG","L_pHC_182_218_182",-0.052443244827879,-0.0294109934327674
28,"R_antFusG","L_pHC_182_218_182",-0.17758909827962,0.0582083427095859
29,"R_antFusG","L_pHC_182_218_182",-0.135592151111844,-0.107007480898241
30,"R_antFusG","L_pHC_182_218_182",0.333935474843878,0.191214385325314
31,"R_antFusG","L_pHC_182_218_182",0.115277526533272,0.0388635200844518
1,"R_antFusG","R_aHC_182_218_182",0.252498183306797,0.753004863931973
2,"R_antFusG","R_aHC_182_218_182",0.523147327927406,0.151724842076485
3,"R_antFusG","R_aHC_182_218_182",-0.177462888933569,0.231678784465699
4,"R_antFusG","R_aHC_182_218_182",0.502829939818733,0.422575410403175
5,"R_antFusG","R_aHC_182_218_182",0.23016600459877,0.251445145621568
6,"R_antFusG","R_aHC_182_218_182",0.399245142028397,0.485480779770787
7,"R_antFusG","R_aHC_182_218_182",0.463283633567218,0.575714349452761
8,"R_antFusG","R_aHC_182_218_182",0.306396715277779,0.482235575102247
9,"R_antFusG","R_aHC_182_218_182",0.048581606940975,0.213832750585686
10,"R_antFusG","R_aHC_182_218_182",0.192858233339726,0.137312781251794
11,"R_antFusG","R_aHC_182_218_182",0.158239762431222,0.406147751158001
12,"R_antFusG","R_aHC_182_218_182",0.693802850356104,0.428584108882366
13,"R_antFusG","R_aHC_182_218_182",0.156071095905111,0.264240297369625
14,"R_antFusG","R_aHC_182_218_182",0.0937202294902907,0.102169796206024
