corr_values;ROI_hemi_condition;ROI;hemi;condition;ID
0,105561123;liLOC_RHI-I;iLOC;l;R_HII;25
0,401985247;liLOC_RHI-I;iLOC;l;R_HII;26
0,283892943;liLOC_RHI-I;iLOC;l;R_HII;27
0,150003949;liLOC_RHI-I;iLOC;l;R_HII;28
NA;liLOC_RHI-I;iLOC;l;R_HII;29
0,271425361;liLOC_RHI-I;iLOC;l;R_HII;30
0,263709968;liLOC_RHI-I;iLOC;l;R_HII;31
0,080828792;liLOC_RHI-I;iLOC;l;R_HII;32
0,182633888;rpFusG_RHI-I;pFusG;r;R_HII;1
0,102896354;rpFusG_RHI-I;pFusG;r;R_HII;2
-0,078742808;rpFusG_RHI-I;pFusG;r;R_HII;3
0,077674653;rpFusG_RHI-I;pFusG;r;R_HII;4
-0,040639801;rpFusG_RHI-I;pFusG;r;R_HII;5
0,171483413;rpFusG_RHI-I;pFusG;r;R_HII;6
0,158797355;rpFusG_RHI-I;pFusG;r;R_HII;7
0,038825136;rpFusG_RHI-I;pFusG;r;R_HII;8
0,217774083;rpFusG_RHI-I;pFusG;r;R_HII;9
0,077919065;rpFusG_RHI-I;pFusG;r;R_HII;10
0,383683636;rpFusG_RHI-I;pFusG;r;R_HII;11
0,251689536;rpFusG_RHI-I;pFusG;r;R_HII;12
0,144991638;rpFusG_RHI-I;pFusG;r;R_HII;13
0,043007606;rpFusG_RHI-I;pFusG;r;R_HII;14
0,274503901;rpFusG_RHI-I;pFusG;r;R_HII;15
0,317180132;rpFusG_RHI-I;pFusG;r;R_HII;16
0,212354837;rpFusG_RHI-I;pFusG;r;R_HII;17
0,279743046;rpFusG_RHI-I;pFusG;r;R_HII;18
0,323769415;rpFusG_RHI-I;pFusG;r;R_HII;19
-0,380053229;rpFusG_RHI-I;pFusG;r;R_HII;20
0,148904014;rpFusG_RHI-I;pFusG;r;R_HII;21
0,216509989;rpFusG_RHI-I;pFusG;r;R_HII;22
0,365361437;rpFusG_RHI-I;pFusG;r;R_HII;23
0,307741428;rpFusG_RHI-I;pFusG;r;R_HII;24
0,118335332;rpFusG_RHI-I;pFusG;r;R_HII;25
0,258549119;rpFusG_RHI-I;pFusG;r;R_HII;26
0,26576147;rpFusG_RHI-I;pFusG;r;R_HII;27
0,098199181;rpFusG_RHI-I;pFusG;r;R_HII;28
NA;rpFusG_RHI-I;pFusG;r;R_HII;29
0,177507044;rpFusG_RHI-I;pFusG;r;R_HII;30
0,303488612;rpFusG_RHI-I;pFusG;r;R_HII;31
0,089238848;rpFusG_RHI-I;pFusG;r;R_HII;32
0,17108774;lpFusG_RLO-I;pFusG;l;R_LOI;1
0,276559315;lpFusG_RLO-I;pFusG;l;R_LOI;2
-0,005780137;lpFusG_RLO-I;pFusG;l;R_LOI;3
0,136440841;lpFusG_RLO-I;pFusG;l;R_LOI;4
0,059728368;lpFusG_RLO-I;pFusG;l;R_LOI;5
0,182900904;lpFusG_RLO-I;pFusG;l;R_LOI;6
0,079579542;lpFusG_RLO-I;pFusG;l;R_LOI;7
-0,01589961;lpFusG_RLO-I;pFusG;l;R_LOI;8
-0,032425396;lpFusG_RLO-I;pFusG;l;R_LOI;9
0,050419284;lpFusG_RLO-I;pFusG;l;R_LOI;10
0,000385214;lpFusG_RLO-I;pFusG;l;R_LOI;11
0,045925869;lpFusG_RLO-I;pFusG;l;R_LOI;12
0,11262944;lpFusG_RLO-I;pFusG;l;R_LOI;13
0,029226185;lpFusG_RLO-I;pFusG;l;R_LOI;14
0,249419354;lpFusG_RLO-I;pFusG;l;R_LOI;15
0,030693674;lpFusG_RLO-I;pFusG;l;R_LOI;16
-0,155294207;lpFusG_RLO-I;pFusG;l;R_LOI;17
0,277753215;lpFusG_RLO-I;pFusG;l;R_LOI;18
0,007333882;lpFusG_RLO-I;pFusG;l;R_LOI;19
-0,509261616;lpFusG_RLO-I;pFusG;l;R_LOI;20
0,01074018;lpFusG_RLO-I;pFusG;l;R_LOI;21
0,20886437;lpFusG_RLO-I;pFusG;l;R_LOI;22
-0,566685735;lpFusG_RLO-I;pFusG;l;R_LOI;23
0,317283299;lpFusG_RLO-I;pFusG;l;R_LOI;24
0,201591329;lpFusG_RLO-I;pFusG;l;R_LOI;25
-0,049357724;lpFusG_RLO-I;pFusG;l;R_LOI;26
0,622729809;lpFusG_RLO-I;pFusG;l;R_LOI;27
-0,307059068;lpFusG_RLO-I;pFusG;l;R_LOI;28
NA;lpFusG_RLO-I;pFusG;l;R_LOI;29
0,282975008;lpFusG_RLO-I;pFusG;l;R_LOI;30
0,026690046;lpFusG_RLO-I;pFusG;l;R_LOI;31
0,073698665;lpFusG_RLO-I;pFusG;l;R_LOI;32
0,219892704;riLOC_RLO-I;iLOC;r;R_LOI;1
0,291727836;riLOC_RLO-I;iLOC;r;R_LOI;2
-0,121769451;riLOC_RLO-I;iLOC;r;R_LOI;3
0,315269242;riLOC_RLO-I;iLOC;r;R_LOI;4
0,074478516;riLOC_RLO-I;iLOC;r;R_LOI;5
0,087866322;riLOC_RLO-I;iLOC;r;R_LOI;6
-0,029423275;riLOC_RLO-I;iLOC;r;R_LOI;7
0,292508028;riLOC_RLO-I;iLOC;r;R_LOI;8
-0,109997325;riLOC_RLO-I;iLOC;r;R_LOI;9
0,018682472;riLOC_RLO-I;iLOC;r;R_LOI;10
0,572156974;riLOC_RLO-I;iLOC;r;R_LOI;11
0,080226961;riLOC_RLO-I;iLOC;r;R_LOI;12
0,244745737;riLOC_RLO-I;iLOC;r;R_LOI;13
0,120033957;riLOC_RLO-I;iLOC;r;R_LOI;14
0,261542663;riLOC_RLO-I;iLOC;r;R_LOI;15
0,054145876;riLOC_RLO-I;iLOC;r;R_LOI;16
-0,009794074;riLOC_RLO-I;iLOC;r;R_LOI;17
0,454369354;riLOC_RLO-I;iLOC;r;R_LOI;18
-0,137363017;riLOC_RLO-I;iLOC;r;R_LOI;19
0,14532955;riLOC_RLO-I;iLOC;r;R_LOI;20
0,374332199;riLOC_RLO-I;iLOC;r;R_LOI;21
