ID,vis_noRem_1,vis_RemnoI_1,vis_RemI_1,verb_cov_1,GV1,vis_noRem_2,vis_RemnoI_2,vis_RemI_2,verb_cov_2,GV2,vis_noRem_3,vis_RemnoI_3,vis_RemI_3,verb_cov_3,GV3,vis_noRem_4,vis_RemnoI_4,vis_RemI_4,verb_cov_4,GV4
sub-06,0.570550714927312,-0.280483589172876,0.391167751290341,0.267023835514067,-0.0456802857952106,-1.03655980840589e-11,0.282696766136996,0.341118129988936,0.227616206516125,-0.0404864709448825,0.103165491112282,-0.314325822203499,0.352756555783312,0.253212729577665,-0.0189062825426484,0.279152234668868,0.337434834784762,0.259477719348045,0.282744752720272,-0.0282535550019769
sub-12,-0.230665624248893,-0.312698943406378,0.448260118227102,0.23744090011051,-0.0464724635018247,0.141436000013554,-0.18332604465679,0.143285657362567,0.204912728347853,-0.0605546392885555,0.648739298010042,-0.142312672359023,-0.229790281128376,0.247936916418479,-0.0422227540434764,0.456883916331458,0.811801052790408,0.224162084542881,-0.0544007242512549,-0.0364048114238111
sub-13,0.242638293455301,0.137845926313291,0.206013953868149,-0.0608021784016175,0.0171483452947735,-0.322539090466349,0.340802795138406,0.315921296192169,0.115458079068539,0.0218710159954093,0.288310904913486,0.26220807911572,0.465351469459832,0.212881843224775,0.0260903811811758,-0.340824568263933,0.343692320723163,0.297771562039783,0.195852609434601,-0.0208277834597514
sub-14,0.101913414810741,0.552673280667794,0.262247609912688,-0.109136801651196,-0.0427766941163546,0.172100037968835,-0.30158813739979,0.155748688899511,0.0739990208262701,-0.0231942071897327,0.272443240404728,-0.0765254585771945,0.268107341946529,0.226951695488309,-0.0214904290759923,-0.432310471472877,-0.480148323266501,-0.150725382187558,-0.412047251722989,-0.062134673488095
sub-16,0.253619424458265,7.03698747155591e-13,0.364003202148713,0.114296479932358,-0.00980228870084546,0.62012528997781,-0.528981370015695,0.291748511598293,0.2326998039206,-0.0375817402146357,0.326510131892642,0.205178009323688,0.373789147904457,0.236136007366553,-0.0314924408333543,0.43394188126547,0.115781549451331,0.252479473205016,0.377380658595559,-0.0188506562176825
sub-17,-0.0629324666997527,-0.264985169042265,-0.340248194280923,-0.147761375699429,-0.0465050179407401,0.367499270663938,-0.527418333268731,0.439097466177385,0.0750765148882696,-0.0200001793650079,0.273319844386131,0.204957361781455,0.246511036193555,-0.0682141933824122,-0.0166694782891498,0.278902523367504,0.270566357962791,-0.198417187330583,-0.142441003807697,-0.0470292389251398
sub-19,0.113127174096886,-1.44050927631151e-12,0.128312046943534,-0.0523126172031578,-0.0349273229050858,0.268216113224013,0.0950807342375255,0.288866917334668,0.0897407035317505,-0.0373860408491475,0.128623151009173,-0.187464638610839,0.221050032453948,0.080898933722187,-0.02096117033994,-0.12821899439971,-0.0818839407495354,-0.169210910954801,-0.134589354663165,-0.0105257387556409
sub-20,0.252239097581534,-0.291950839190583,0.516774645028604,0.130957842094278,-0.0625332701355655,-0.341341936353565,0.241045679391089,0.599922363679576,0.236377701833338,-0.0298881695496669,0.374536840095052,0.304768428909222,0.427872573012039,0.139102075897698,-0.0426766476408009,0.190832950465593,0.232769682138107,0.339901843753834,0.166861750948424,-0.0305693994410512
sub-21,0.320516059407281,-1.04138967598186,0.85165424524054,0.28546293308663,-0.050115695776029,0.136670707092161,0.840936738359072,0.14432145032217,0.267389345217178,-0.032881812078364,0.0975853356122939,0.510144018959485,0.393059304602185,0.244534413706759,-0.0561483056208912,0.237447993702271,-0.558540390175725,0.369981300699194,0.208657450601217,0.054409329166075
sub-22,0.195651098524596,0.144077767195783,0.283305710268786,-0.127906701957159,0.0553575756636946,0.226974589649963,0.396818966941552,0.489974619874203,0.135806308744505,-0.0393427910893945,0.219064049662512,0.657294998533417,-0.111995360625051,-0.339448704358773,-0.0377011325033734,0.473621971414589,0.424404454090915,0.489686458452877,0.447632198395758,-0.0531355015603578
sub-23,0.364761797123194,-1.00396856694701,0.692106326687467,0.217152553895893,0.0397908677981839,0.376675264887435,1.29093930946133e-11,0.446584954260019,0.262389171228563,-0.0297501888853653,-0.507463086773616,-0.0785953111067533,0.734856503355575,-0.194443866745664,-0.0362321907714146,0.24704026202005,0.245492556603476,0.322416728874103,-0.208683426738701,0.0525217393669287
sub-24,0.0736720406372858,0.218029493369995,0.228028649337536,0.0841760659007972,-0.0324373548940277,0.226953207543677,0.374520347159587,0.294205806659278,0.202405347956702,-0.0310169577357692,0.175266332478977,0.467989681664498,0.288864360332041,0.247638116779107,-0.0249901490933352,-0.0803311461831482,0.417525101090153,0.252994317836476,-0.133929518176921,-0.0316512598476151
sub-25,0.201300082629505,0.339079157838027,0.204581031751017,0.148875596737317,-0.0492936180716141,0.157047336353889,-0.182918306809564,0.182662796275417,0.116390332623619,-0.0293555195753388,0.225368942504613,0.332018577350698,0.212134614530282,0.0427390082068251,-0.0172872547218136,0.11268129710308,0.234986445227271,0.267522439041322,0.167432642229999,0.0126835682140543
sub-26,-0.0884219639477957,-0.125374546500334,0.33900731365836,-0.105807058854433,-0.0231922828825426,0.0543611485018199,0.470678676036959,0.148313380120637,-0.0787282483225655,-0.0244792688425943,0.120415889277998,-0.465543898194902,0.221843614451386,-0.0931161646349599,-0.0194668886640181,-0.106932632602619,-1.31080573821828e-14,0.153555961386699,-0.12323087625389,-0.0240314966815051
sub-27,0.150579872421927,0.147505855545942,0.284926089745634,0.048089818515518,-0.0358810481933512,0.280275289867486,0.400276272186288,0.256873839959494,0.0823999448526946,0.0295301763830306,0.250689563802009,0.212751537206703,0.105051487564964,0.0857044530370817,-0.0376412260517593,0.302556125109508,0.238849850846018,0.395849111745819,0.24960884417696,-0.00644282398422724
sub-28,0.280975444056204,0.153371128005979,0.209105967049846,0.209581787340536,-0.0192117248194415,0.158010827902726,0.156955989598962,0.211575288570933,0.0815902984279702,-0.0227595515221654,0.0976429409299168,-0.164185723292388,0.37021051704025,0.0644495480400184,-0.0276023636399707,0.305932312219019,-6.60292460155789e-13,0.285017373237942,0.23546487504481,-0.0287363404769143
