ID,vis_HIinsight_1,vis_LOinsight_1,verb_cov_1,GV1,vis_HIinsight_2,vis_LOinsight_2,verb_cov_2,GV2,vis_HIinsight_3,vis_LOinsight_3,verb_cov_3,GV3,vis_HIinsight_4,vis_LOinsight_4,verb_cov_4,GV4
sub-06,-7.71362852997293e-13,0.15264395016163,0.235285642523754,0.0307810026852408,-3.5241579244294e-12,-0.0675310073139472,-0.0739799958183999,0.0228970270667104,-6.09561300278592e-13,-0.09574100236142,-0.0399966083600688,0.000398222091722544,2.42857715066549e-14,0.0903310950418803,0.0476147669977968,-0.00612602782210785
sub-12,0.267579853407856,-0.0827138237518404,0.191948290191183,-0.0334132509894707,0.15660106845847,0.12566267447765,0.157320561368352,-0.0379629811867569,0.102801858416581,0.177294339670665,0.175741543336129,-0.0145573430573047,0.204091036819832,0.243226898978536,0.283332304368623,-0.0250667145393774
sub-13,0.179752209935912,-0.0282005605441007,0.0437543529833887,-0.00818377781060142,0.137874549405665,0.012043990201604,0.0867887537865758,0.018897572216189,0.105308128497698,0.123630296609548,0.123916192718545,-0.0241152253877762,0.121653631611418,0.132894999126252,0.0678837303311144,-0.0120591674367346
sub-14,0.103944362992443,-0.0994227554067627,0.104056607471719,0.00661768763679768,0.131184987020589,-0.211096978705136,0.115372985638319,-0.0216285004078034,0.105786081661956,-0.179483248506575,0.145038444479972,-0.0104088326709645,-0.218101931387028,-0.351735113586097,-0.199033755091091,0.0400741590494645
sub-16,0.196681505056536,0.265178031514922,0.0965563345681163,-0.0238825299019136,0.239365921606051,0.15233752336792,0.217860405040732,-0.0246001893442878,7.75432416371631e-14,0.13484835860851,-0.0971306947788938,-0.0228668744776724,3.34727963484901e-14,0.100118008777217,0.156924346853404,-0.0178725667825875
sub-17,0.164416467929089,0.182971737914432,0.222826706249333,0.0154353293405661,0.179825696817396,-0.189104097668434,0.0826541274439463,-0.0135491378488625,0.216277681856855,-0.0689494052058591,0.17455370178964,-0.0153446504849025,0.150318076893198,0.267637620335402,0.147381771356694,0.00925168492525727
sub-19,0.0875021871245834,-0.0987708725569479,0.0491091093773648,-0.0190028218256358,0.135047542165815,0.239253875045312,-0.0237684121023459,-0.0151002671999596,0.172994663881061,0.0406614238443749,0.0765791744086085,-0.0260556762510248,-0.0628293074846801,-0.0559937507645813,0.146167133449322,-0.0206058270604921
sub-20,-0.061766323150132,0.114299253540546,-0.0870619181247195,-0.0256518838226829,0.0226390108846339,-0.0416647022414994,-0.0523452341755202,-0.0171388307599616,0.0522732803410142,0.0615119302865896,0.0399161870271321,-0.0149213237617354,0.10365436874333,0.151083884997685,0.169850837327415,0.0170410710049687
sub-21,0.177985479276378,0.141221216708175,0.109965814473862,-0.0251821787076862,0.0727169039443415,0.122332682633709,0.196975595581959,0.0231367953436985,0.0825910571603014,0.163178388026413,0.106051663421624,-0.0105768761823873,0.154950799133491,0.163365793666333,0.0541787278529677,0.00410936554598027
sub-22,0.118377643602972,0.0478241197122438,-0.0369505634274459,-0.0103841849535204,0.199846923310364,0.0979053944580644,0.0638022283439766,0.0107356272609712,0.0445747759044673,0.0593320552447762,0.0285463779230575,-0.0200831794479206,-0.342471508203017,-0.0744305987921197,-0.0887562539472633,-0.01593854245798
