ID,vis_noRem_1,vis_RemnoI_1,vis_RemI_1,verb_cov_1,GV1,vis_noRem_2,vis_RemnoI_2,vis_RemI_2,verb_cov_2,GV2,vis_noRem_3,vis_RemnoI_3,vis_RemI_3,verb_cov_3,GV3,vis_noRem_4,vis_RemnoI_4,vis_RemI_4,verb_cov_4,GV4
sub-06,0.182044549475596,0.0726529147605174,0.175572857921145,0.108968838723236,0.00766253236127618,5.12638440791564e-13,0.0992834372290055,0.208074933928333,0.0855293902578517,-0.0176579879136829,0.117013237567224,-0.184248589208145,0.15989031080667,-0.165079002153098,0.0157043406387873,0.188997868057902,0.184503850162345,0.0950451960110461,-0.0818528877893138,0.010721839296209
sub-12,-0.188323113244655,0.30551282896581,0.32304518338051,0.122452480237433,-0.025346701094676,-0.190430109966644,-0.273312012154901,-0.131432008560631,-0.0713855112946559,-0.0234699260490562,0.270157886293591,0.118581260005959,0.324117283961217,0.129402246143547,-0.0275044331174322,0.465542047722579,-0.160927905346684,0.131434692179826,-0.0727201337196348,-0.0492159706367983
sub-13,-0.174478641086017,-0.137301180224367,0.0762539863361064,-0.0627661333308988,-0.00303344588567726,-0.165518495812761,-0.338052767508071,-0.116155932319098,-0.0894080646493029,-0.00609549631981944,0.18524958045483,0.0994207969340047,0.227633210954791,0.139958886363249,0.0313038314237289,0.216967061016072,0.423976646006779,0.230731980879154,0.293478174184264,0.0526671481116458
sub-14,-0.0548356004521082,0.424780353897884,0.205652026704173,-0.137217662016292,-0.0233358554715724,0.0692633188917766,-0.414690730846587,0.117882591275436,-0.0942429988555792,-0.0147415543339816,0.232050064084641,-0.124730341201715,0.19824217134471,0.124508778277844,-0.0200117191253772,-0.188111315213294,-0.330863609665829,-0.209956275405832,-0.180490670031534,-0.0295755293146929
sub-16,0.0781276037210949,4.1171147352458e-13,0.114846945881715,0.146526724629257,-0.0142788163195437,0.317430785740323,0.344766981962891,0.211567403857439,-0.0738915382582507,-0.0245224083115126,0.194677140345067,0.187522235498866,0.253038028108674,0.123212138038143,-0.0233283359191665,0.350102269288944,0.0739463362473834,-0.226831702785613,-0.0809119472217955,-0.0229285484635573
sub-17,-0.376979443977519,-0.230888303930473,0.298539150978837,0.0597200519096427,-0.00751922075520595,0.268973663719024,-0.355673637550198,0.299337041867154,0.187378423608622,-0.0196405858247507,0.0894316171528623,-0.179405327503737,0.105974181165211,-0.259758538201444,-0.0377587417005488,0.157008061653843,-0.172187963924675,-0.123970008446169,0.0918062627911657,-0.00809702125471048
sub-19,0.0576995597436743,-1.31236418244333e-12,0.249230105852859,0.0791495826119972,0.0200182505760385,0.160041972952295,0.0746982692221268,0.202786278346694,-0.108717349040828,-0.0182054048316181,-0.135847796841051,-0.0792115241502235,0.116853536917375,0.0722567955991282,0.00370339399929041,0.0817299799327072,0.157690630407414,0.104870157515683,-0.0224671962449605,-0.00832781483009146
sub-20,-0.0647354344252903,0.18621796583555,0.0668480692484402,-0.140393706677358,-0.0248202124776701,0.170547465090804,0.0958994238598382,0.222448521560032,0.073151696061664,-0.0189124541696342,0.215036552723577,0.0774344410529908,0.13166012086634,0.125449371380748,-0.0360823746710017,0.0555002283178078,0.221635102625025,0.276285871543599,-0.0471310832332054,-0.0281766348166712
sub-21,-0.189411075237295,-0.447954253198561,0.324760648770904,-0.0743490514096599,-0.0187930474342689,0.181261333851469,-0.245135000901,0.169397576638398,0.183172737477135,-0.0108044076652404,0.0513270170841137,0.201435323892543,0.281513836622412,-0.0408996286905026,-0.0380505429949035,0.206304161897595,0.204941394740701,0.218280082070218,0.0603284251989139,-0.0135601435614955
sub-22,0.189737441543097,-0.214363304793087,0.243777173306524,0.139394787788902,-0.0229885198718411,0.110432149031951,-0.24491791821028,0.228408077388955,0.0864111659278146,-0.0261689721099797,0.283176885931397,0.412778723049573,0.281493236912365,-0.152189630044252,-0.0265476536416592,0.168347311952141,0.34965544207964,0.226330793629653,0.127140641253741,-0.0181073418301868
